what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1608161060591
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1608161062401
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608161106016
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608161215020
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1608161248862
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608161251571
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608161252702
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608161258902
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608161260355
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1608161260645
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608161260700
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608161263552
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1608161266902
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1608161268960
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1608161272484
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608161509728
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608161511519
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608161511956
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608161557609
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1608161577580
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1608161584226
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1608161587507
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1608161611691
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1608161613401
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608161615842
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608161617098
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1608161716560
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1608161716617
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1608161739834
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1608161740052
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1608162118838
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608162221753
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608162223574
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608162225613
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608162276579
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1608162276601
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1608162326454
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1608162327842
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1608162328977
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1608162330673
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608162333883
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608162338374
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608162338570
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608162341872
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608162345510
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608162346921
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1608162347213
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1608162349146
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1608162351121
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1608162354660
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608162395370
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608166380061
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1608166389039
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608166391850
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608166394579
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1608166394949
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1608166397026
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1608166399295
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1608166402946
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608166428685
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608167382254
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1608167392011
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608167394517
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608167395952
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1608167396246
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1608167398173
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1608167400118
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1608167403597
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608167515985
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608167517638
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1608167517793
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608167517960
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1608167518239
stopped,bundle,com.altera.debug.cdi.gdb.plugin,11.1.0.259,"com.altera.debug.cdi.gdb.plugin",1608167518239
stopped,bundle,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch",1608167519239
